Leeds 085D,E01011374,593,252,33,219,303,38
Leeds 086A,E01011312,752,302,38,264,364,86
Leeds 086B,E01011316,694,229,23,206,365,100
Leeds 086C,E01011372,584,194,30,164,319,71
Leeds 086D,E01011375,690,207,28,179,378,105
Leeds 087A,E01011390,598,174,83,91,406,18
Leeds 087B,E01011391,720,231,156,75,464,25
Leeds 087C,E01011392,813,190,107,83,598,25
Leeds 087D,E01011402,887,266,175,91,588,33
Leeds 088A,E01011298,704,235,97,138,434,35
Leeds 088B,E01011299,1164,296,104,192,818,50
Leeds 088C,E01011302,780,179,109,70,589,12
Leeds 088D,E01011303,492,141,84,57,327,24
Leeds 089A,E01011300,619,162,83,79,433,24
Leeds 089B,E01011301,553,138,68,70,403,12
Leeds 089C,E01011304,705,260,116,144,409,36
Leeds 089D,E01011305,652,166,66,100,459,27
Leeds 089E,E01011306,546,110,55,55,414,22
Leeds 090A,E01011315,657,189,63,126,419,49
Leeds 090B,E01011317,882,423,157,266,411,48
Leeds 090C,E01011318,642,223,45,178,374,45
Leeds 090D,E01011321,664,194,55,139,421,49
Leeds 090E,E01011369,739,268,129,139,429,42
Leeds 091A,E01011313,650,192,37,155,398,60
Leeds 091B,E01011314,676,243,85,158,369,64
Leeds 091C,E01011319,617,182,52,130,387,48
Leeds 091D,E01011320,691,198,80,118,428,65
Leeds 091E,E01011322,685,197,91,106,453,35
Leeds 092A,E01011471,661,216,82,134,395,50
Leeds 092B,E01011472,709,271,102,169,406,32
Leeds 092C,E01011473,613,187,53,134,389,37
Leeds 092D,E01011474,655,198,81,117,409,48
Leeds 093A,E01011518,1004,270,70,200,691,43
Leeds 093B,E01011524,557,166,76,90,362,29
Leeds 093C,E01011526,488,74,29,45,395,19
Leeds 093D,E01011531,772,245,168,77,505,22
Leeds 094A,E01011466,635,223,95,128,375,37
Leeds 094B,E01011469,631,177,89,88,421,33
Leeds 094C,E01011475,693,212,50,162,453,28
Leeds 094D,E01011476,494,154,78,76,307,33
Leeds 095A,E01011519,679,228,85,143,421,30
Leeds 095B,E01011522,592,145,88,57,429,18
Leeds 095C,E01011525,691,229,72,157,434,28
Leeds 095D,E01011528,618,128,55,73,465,25
Leeds 095E,E01011532,707,244,103,141,433,30
Leeds 096A,E01011520,675,201,104,97,462,12
Leeds 096B,E01011521,998,313,136,177,645,40
Leeds 096C,E01011523,815,262,127,135,526,27
Leeds 096D,E01011527,771,233,117,116,510,28
Leeds 096E,E01011529,585,163,58,105,405,17
Leeds 097B,E01011635,775,262,102,160,487,26
Leeds 097C,E01011637,727,192,57,135,498,37
Leeds 097D,E01011638,622,182,109,73,419,21
Leeds 097F,E01032487,459,147,82,65,292,20
Leeds 097G,E01032488,758,181,113,68,548,29
Leeds 098A,E01011627,585,177,109,68,379,29
Leeds 098B,E01011628,586,191,122,69,381,14
Leeds 098C,E01011629,623,215,91,124,391,17
Leeds 098D,E01011632,599,198,87,111,380,21
Leeds 098E,E01011633,643,178,90,88,449,16
Leeds 099C,E01011502,584,177,74,103,377,30
Leeds 099E,E01032497,633,168,55,113,422,43
Leeds 099F,E01032498,719,211,105,106,467,41
Leeds 099G,E01035048,782,219,56,163,526,37
Leeds 099H,E01035049,697,265,41,224,398,34
Leeds 100A,E01011496,604,128,40,88,466,10
Leeds 100B,E01011630,892,248,93,155,611,33
Leeds 100C,E01011634,677,195,99,96,454,28
Leeds 100D,E01011636,841,261,150,111,551,29
Leeds 100E,E01011639,637,177,95,82,442,18
Leeds 101A,E01011491,607,192,46,146,384,31
Leeds 101B,E01011492,663,185,85,100,430,48
Leeds 101C,E01011493,663,189,63,126,426,48
Leeds 101D,E01011494,625,146,47,99,426,53
Leeds 101E,E01011497,678,181,76,105,451,46
Leeds 102B,E01011540,874,248,88,160,595,31
Leeds 102F,E01032489,981,333,74,259,609,39
Leeds 102G,E01032490,580,143,48,95,411,26
Leeds 102H,E01032491,489,106,38,68,373,10
Leeds 102I,E01032492,1063,445,93,352,566,52
Leeds 103A,E01011307,651,175,72,103,444,32
Leeds 103B,E01011308,660,195,107,88,447,18
Leeds 103C,E01011393,902,239,109,130,630,33
Leeds 103D,E01011394,494,138,77,61,341,15
Leeds 103E,E01011395,462,99,34,65,341,22
Leeds 104A,E01011533,750,344,102,242,376,30
Leeds 104B,E01011541,1182,627,232,395,507,48
Leeds 104C,E01011545,666,246,85,161,394,26
Leeds 104D,E01011547,935,364,121,243,524,47
Leeds 105D,E01011500,688,200,115,85,463,25
Leeds 105F,E01032496,953,264,92,172,661,28
Leeds 105G,E01035050,610,128,31,97,450,32
Leeds 105H,E01035051,607,109,18,91,470,28
Leeds 105I,E01035052,594,174,35,139,396,24
Leeds 105J,E01035053,659,157,41,116,474,28
Leeds 106A,E01011530,634,189,82,107,428,17
Leeds 106B,E01011534,1018,301,94,207,670,47
Leeds 106C,E01011546,782,279,113,166,477,26
