ATCOCode,NaptanCode,PlateCode,CommonName,Landmark,Street,Indicator,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,Town,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,Status
450012678,45012678,45012678,Ring Road,,Birchwood Hill,N bound,NW,E0033228,Moortown,Leeds,Moortown,432119,439417,-1.513253765,53.850001278743214,BCT,MKD,OTH,active
450012679,45012679,45012679,Ring Road,,Ring Road Moortown,E bound,E,E0033228,Moortown,Leeds,Moortown,431814,439384,-1.517893187,53.849723394017651,BCT,MKD,OTH,active
450012680,45012680,45012680,Ring Rd Shadwell Lane,,Ring Road Moortown,E bound,E,E0033228,Moortown,Leeds,Moortown,431132,439303,-1.528267749,53.849036577157101,BCT,MKD,OTH,active
450012681,45012681,45012681,Main Street Gateland Ln,,Main Street,adj,W,E0033533,Shadwell,Leeds,Shadwell,434369,439840,-1.479006628,53.853659472920171,BCT,MKD,OTH,active
450012682,45012682,45012682,Main Street Gateland Ln,,Main Street,,E,E0033533,Shadwell,Leeds,Shadwell,434391,439846,-1.47867153,53.853711946298361,BCT,MKD,OTH,active
450012683,45012683,45012683,The Red Lion PH,The Red Lion PH,Main Street,after,SE,E0033533,Shadwell,Leeds,Shadwell,433906,440028,-1.486024139,53.855379458175776,BCT,MKD,OTH,active
450012684,45012684,45012684,Main Street Manor Court,,Main Street,N bound,N,E0033533,Shadwell,Leeds,Shadwell,434478,439762,-1.477358418,53.852951246876579,BCT,MKD,OTH,active
450012685,45012685,45012685,Shadwell Ln Holywell Lane,,Shadwell Lane,adj,W,E0033228,Moortown,Leeds,Shadwell,433549,440127,-1.49144045,53.856292330700057,BCT,MKD,OTH,active
450012686,45012686,45012686,Shadwell Lane Moorhouse Court,,Shadwell Lane,,SW,E0033228,Moortown,Leeds,Shadwell,432898,440077,-1.501342481,53.855884463233977,BCT,MKD,OTH,active
450012687,45012687,45012687,Shadwell Lane Longwood Crescent,,Shadwell Lane,adj,NE,E0033228,Moortown,Leeds,Shadwell,432765,439975,-1.503375215,53.854976114871988,BCT,MKD,OTH,active
450012688,45012688,45012688,Shadwell Lane The Moorlands,,Shadwell Lane,adj,NE,E0033228,Moortown,Leeds,Moortown,431498,439534,-1.522681046,53.851090718831166,BCT,MKD,OTH,active
450012689,45012689,45012689,Shadwell Lane Sandringham Approach,Medical Centre,Shadwell Lane,,SW,E0033228,Moortown,Leeds,Moortown,431315,439400,-1.525476345,53.849897410722910,BCT,MKD,OTH,active
450012691,45012691,45012691,Shadwell Lane Sandringham Approach,Medical Centre,Shadwell Lane,adj,NE,E0033228,Moortown,Leeds,Moortown,431293,439395,-1.525811253,53.849853794002534,BCT,MKD,OTH,active
450012692,45012692,45012692,Shadwell Ln Ring Road,Ring Road Junction,Shadwell Lane,N bound,NE,E0033228,Moortown,Leeds,Moortown,431143,439248,-1.528106108,53.848541603594050,BCT,MKD,OTH,active
450012693,45012693,45012693,Wigton Ln Plantation Gardens,Dexter PH,Wigton Lane,,E,E0033859,Wigton Moor,Leeds,Shadwell,432870,440288,-1.501745626,53.857782598311268,BCT,MKD,OTH,active
450012694,45012694,45012694,Wigton Ln Plantation Gardens,Dexter PH,Wigton Lane,adj,W,E0033859,Wigton Moor,Leeds,Shadwell,432900,440276,-1.501290823,53.857672854620994,BCT,MKD,OTH,active
450012695,45012695,45012695,Plantation Gardens Plantation Ave,,Plantation Gardens,,N,E0033859,Wigton Moor,Leeds,Wigton Moor,432322,440290,-1.510076579,53.857834854440661,BCT,MKD,OTH,active
450012697,45012697,45012697,High Ash Drive,,High Ash Drive,,N,E0033859,Wigton Moor,Leeds,Alwoodley Gates,431307,440330,-1.525503461,53.858256324189867,BCT,MKD,OTH,active
450012698,45012698,45012698,High Ash Dr High Ash Avenue,,High Ash Drive,opp,NE,E0033859,Wigton Moor,Leeds,Wigton Moor,431340,440496,-1.524984873,53.859746274651634,BCT,MKD,OTH,active
450012699,45012699,45012699,High Ash Dr High Ash Avenue,,High Ash Drive,,SW,E0033859,Wigton Moor,Leeds,Wigton Moor,431407,440569,-1.523958788,53.860398332053286,BCT,MKD,OTH,active
450012700,45012700,45012700,Wigton Ln High Ash Drive,,Wigton Lane,after,NW,E0032190,Alwoodley Gates,Leeds,Alwoodley Gates,431357,440653,-1.524710429,53.861156297563660,BCT,MKD,OTH,active
450012701,45012701,45012701,Lawns Lane,St James Church,Whitehall Road,,NE,E0033268,New Farnley,Leeds,New Farnley,425135,431099,-1.620088325,53.775624707338494,BCT,MKD,OTH,active
450012702,45012702,45012702,Coach Road,Harper Farm,Whitehall Road,opp,NE,E0033268,New Farnley,Leeds,New Farnley,425325,431216,-1.617195823,53.776667115556094,BCT,MKD,TIP,active
450012703,45012703,45012703,Coach Road,Harper Farm,Whitehall Road,at,SW,E0033268,New Farnley,Leeds,New Farnley,425295,431184,-1.617653648,53.776380957800534,BCT,MKD,TIP,active
450012704,45012704,45012704,Whitehall Ind Est,Whitehall Industrial Estate,Whitehall Road,,SW,E0033268,New Farnley,Leeds,New Farnley,425670,431402,-1.611945474,53.778322026847491,BCT,MKD,OTH,active
450012705,45012705,45012705,Whitehall Ind Est,Whitehall Park,Whitehall Road,at,NE,E0033268,New Farnley,Leeds,New Farnley,425800,431470,-1.609967149,53.778926799569504,BCT,MKD,OTH,active
450012706,45012706,45012706,Branch Road,New Farnley Sign,Whitehall Road,,SW,E0033268,New Farnley,Leeds,New Farnley,426171,431627,-1.604324131,53.780319447008864,BCT,MKD,OTH,active
450012707,45012707,45012707,Whitehall Drive,Whitehall Road Post Office,Whitehall Road,at,E,E0033913,Wortley,Leeds,Wortley,426449,431729,-1.600096763,53.781222213056928,BCT,MKD,OTH,active
450012708,45012708,45012708,Whitehall Drive,Ringways Garage,Whitehall Road,,W,E0033913,Wortley,Leeds,Wortley,426566,431725,-1.59832159,53.781180331380355,BCT,MKD,OTH,active
450012709,45012709,45012709,Wortley Ringways,Garden Centre,Whitehall Road,,W,E0033913,Wortley,Leeds,Wortley,426809,431758,-1.594631128,53.781464525840562,BCT,MKD,TIP,active
450012711,45012711,45012711,Royds Lane,Industrial Estate,Whitehall Road,before,E,E0033913,Wortley,Leeds,Lower Wortley,427023,431801,-1.591379834,53.781839983659197,BCT,MKD,OTH,active
450012712,45012712,45012712,Dixon Lane,Northern Sink Supplies,Whitehall Road,at,E,E0033913,Wortley,Leeds,Lower Wortley,427374,431851,-1.586048795,53.782271112751786,BCT,MKD,OTH,active
450012713,45012713,45012713,Dragon Bridge,Dragon Bridge,Whitehall Road,,NE,E0033913,Wortley,Leeds,Lower Wortley,427768,432098,-1.580047418,53.784470306390730,BCT,MKD,OTH,active
450012714,45012714,45012714,Dragon Bridge,Dragon Bridge,Whitehall Road,before,SW,E0033913,Wortley,Leeds,Lower Wortley,427804,432112,-1.579499807,53.784594221223685,BCT,MKD,OTH,active
450012715,45012715,45012715,Copleyhill Trading Estate,Rail Bridge,Whitehall Road,,NE,E0033913,Wortley,Leeds,Lower Wortley,428096,432369,-1.575044936,53.786888454779238,BCT,MKD,OTH,active
450012716,45012716,45012716,Copleyhill Trading Estate,Rail Bridge,Whitehall Road,,SW,E0033913,Wortley,Leeds,Lower Wortley,428157,432407,-1.57411566,53.787226705872484,BCT,MKD,OTH,active
450012717,45012717,45012717,Low Moorside Crt Lawns Lane,,Low Moor Side,after,W,E0033268,New Farnley,Leeds,New Farnley,424967,431131,-1.622634874,53.775920360941569,BCT,MKD,OTH,active
450012718,45012718,45012718,Low Moorside Crt Lawns Lane,,Low Moor Side,before,E,E0033268,New Farnley,Leeds,New Farnley,424982,431139,-1.622406627,53.775991547250044,BCT,MKD,OTH,active
450012722,45012722,45012722,Fawcett Way,,Lower Wortley Road,,E,E0033913,Wortley,Leeds,Lower Wortley,426420,432015,-1.60051245,53.783794178336152,BCT,MKD,OTH,active
450012723,45012723,45012723,Fawcett Way,Red Takeaway,Lower Wortley Road,,W,E0033913,Wortley,Leeds,Lower Wortley,426397,431999,-1.600862868,53.783651535787456,BCT,MKD,OTH,active
450012724,45012724,45012724,Fawcett Avenue,,Lower Wortley Road,opp,W,E0033913,Wortley,Leeds,Lower Wortley,426676,432009,-1.596627839,53.783727254246394,BCT,MKD,OTH,active
450012725,45012725,45012725,Western Grove,Hanover Arms PH,Lower Wortley Road,,SW,E0033913,Wortley,Leeds,Lower Wortley,426898,432204,-1.593241773,53.785468492055074,BCT,MKD,OTH,active
450012726,45012726,45012726,Green Top,,Lower Wortley Road,SW bound,SW,E0033913,Wortley,Leeds,Lower Wortley,426995,432334,-1.591758281,53.786631899490253,BCT,MKD,OTH,active
450012727,45012727,45012727,Green Top,Church,Lower Wortley Road,,NE,E0033913,Wortley,Leeds,Lower Wortley,427031,432402,-1.591205961,53.787241205885856,BCT,MKD,OTH,active
450012728,45012728,45012728,Five Lane Ends,Five Lane Ends,Lower Wortley Road,SW bound,SW,E0033913,Wortley,Leeds,Lower Wortley,427102,432469,-1.590122493,53.787839708559780,BCT,MKD,OTH,active
450012729,45012729,45012729,Roseneath Place,,Oldfield Lane,opp,W,E0033913,Wortley,Leeds,Lower Wortley,427579,432591,-1.582871854,53.788911263921222,BCT,MKD,OTH,active
450012730,45012730,45012730,Roseneath Place,Hairdressers,Oldfield Lane,,E,E0033913,Wortley,Leeds,Lower Wortley,427601,432604,-1.582536776,53.789026943186919,BCT,MKD,OTH,active
450012731,45012731,45012731,Tavistock Park,Wortley Recreation Ground,Oldfield Lane,at,NE,E0033913,Wortley,Leeds,Lower Wortley,427803,432651,-1.579466571,53.789438660647775,BCT,MKD,OTH,active
450012732,45012732,45012732,Tavistock Park,Wortley Recreation Ground,Oldfield Lane,opp,SW,E0033913,Wortley,Leeds,Lower Wortley,427798,432638,-1.57954363,53.789322086150968,BCT,MKD,OTH,active
450012733,45012733,45012733,Clyde Gardens,Car Dealership,Wellington Road,,SW,E0033284,New Wortley,Leeds,New Wortley,428279,432842,-1.572224261,53.791129776850411,BCT,MKD,OTH,active
450012734,45012734,45012734,Copley Hill,Wortley Towers,Tong Road,,W,E0033284,New Wortley,Leeds,Wortley,428080,432806,-1.575248125,53.790816949027096,BCT,MKD,TIP,active
450012735,45012735,45012735,Third Avenue,New Wortley Community Centre,Tong Road,,SE,E0033284,New Wortley,Leeds,Wortley,427926,432895,-1.577577625,53.791625107538060,BCT,MKD,OTH,active
450012736,45012736,45012736,Third Avenue,Sikh Temple,Tong Road,,W,E0033284,New Wortley,Leeds,Wortley,427857,432918,-1.578622911,53.791835507487726,BCT,MKD,OTH,active
450012737,45012737,45012737,Fearnley Place,,Tong Road,,SE,E0032199,Armley,Leeds,Armley,427699,432982,-1.581015487,53.792419119471354,BCT,MKD,OTH,active
450012738,45012738,45012738,Fearnley Place,Photon House,Tong Road,opp,W,E0032199,Armley,Leeds,Armley,427637,432993,-1.581955625,53.792521266692638,BCT,MKD,OTH,active
450012739,45012739,45012739,Amberley Road,St Bartholomews CE Primary School,Tong Road,,E,E0032199,Armley,Leeds,Armley,427448,433043,-1.584820098,53.792980613093299,BCT,MKD,OTH,active
450012740,45012740,45012740,Amberley Road,Parade of Shops,Tong Road,at,W,E0032199,Armley,Leeds,Armley,427369,433051,-1.586018576,53.793056657842023,BCT,MKD,OTH,active
450012741,45012741,45012741,Thornhill Road,Petrol Station,Tong Road,,E,E0032199,Armley,Leeds,Armley,427101,433094,-1.590082945,53.793457095506696,BCT,MKD,OTH,active
450012742,45012742,45012742,Thornhill Road,Total Petrol Station,Tong Road,at,W,E0032199,Armley,Leeds,Armley,427024,433098,-1.591251437,53.793497033359891,BCT,MKD,OTH,active
450012743,45012743,45012743,Carr Crofts,Car Wash,Tong Road,,E,E0032199,Armley,Leeds,Armley,426874,433108,-1.593527534,53.793594644743912,BCT,MKD,OTH,active
450012744,45012744,45012744,Carr Crofts,Parade Of Shops,Tong Road,at,W,E0032199,Armley,Leeds,Armley,426780,433065,-1.594958157,53.793212996674704,BCT,MKD,OTH,active
450012745,45012745,45012745,Whingate Junction,Whingate Junction,Tong Road,,E,E0032199,Armley,Leeds,Armley,426725,433080,-1.595791744,53.793350627767765,BCT,MKD,OTH,active
450012746,45012746,45012746,Lowtown,Filling Station,Lowtown,,E,E0033421,Pudsey,,Pudsey,422613,433537,-1.658177776,53.797652052904695,BCT,MKD,OTH,active
450012747,45012747,45012747,Station Street,The Royal,Carlisle Road,opp,S,E0033421,Pudsey,,Pudsey,421935,432690,-1.668530742,53.790068249037525,BCT,MKD,TIP,active
450012748,45012748,45012748,Station Street,,Carlisle Road,adj,N,E0033421,Pudsey,,Pudsey,421930,432643,-1.668609962,53.789646031217444,BCT,MKD,TIP,active
450012749,45012749,45012749,Carlisle Road School St,School,Carlisle Road,adj,N,E0033421,Pudsey,,Pudsey,421920,432911,-1.668742786,53.792055184827106,BCT,MKD,OTH,active
450012750,45012750,45012750,Carlisle Road School St,At Antiques Shop,Carlisle Road,opp,S,E0033421,Pudsey,,Pudsey,421941,432829,-1.668429827,53.791317303848260,BCT,MKD,OTH,active
450012752,45012752,45012752,Farrow Hill,The Heights East Flats,Tong Road,,E,E0032199,Armley,Leeds,Armley - Swallow Hill,425727,433091,-1.610940218,53.793499563500198,BCT,MKD,OTH,active
450012753,45012753,45012753,Scotts Square,Funeral Directors,Tong Road,,W,E0032199,Armley,Leeds,Armley,425862,433049,-1.608894454,53.793115416727773,BCT,MKD,OTH,active
450012754,45012754,45012754,Scotts Square,Funeral Directors,Tong Road,E bound,E,E0032199,Armley,Leeds,Armley,425903,433050,-1.608272004,53.793122374557996,BCT,MKD,OTH,active
450012755,45012755,45012755,Whingate School,Whingate Primary School,Tong Road,at,E,E0032199,Armley,Leeds,Armley,426211,433073,-1.603594721,53.793313740304662,BCT,MKD,OTH,active
450012757,45012757,45012757,Albany Street,Aldi Supermarket,Tong Road,,E,E0032199,Armley,Leeds,Armley,426385,433100,-1.600951148,53.793547655627620,BCT,MKD,OTH,active
450012758,45012758,45012758,Albany Street,Aldi Supermarket,Tong Road,opp,W,E0032199,Armley,Leeds,Armley,426364,433079,-1.601271713,53.793359972582302,BCT,MKD,OTH,active
450012759,45012759,45012759,Gamble Hill Drive,Corn Mill Lodge Hotel,Pudsey Road,W bound,NW,E0032712,Gamble Hill,Leeds,Gamble Hill,424749,433569,-1.625747872,53.797842926725814,BCT,MKD,OTH,active
450012760,45012760,45012760,Farrow Bank,Heights West Flats,Pudsey Road,opp,NW,E0032199,Armley,Leeds,Gamble Hill,425422,433180,-1.615562751,53.794314394402676,BCT,MKD,OTH,active
450012761,45012761,45012761,Poplar Rise,,Green Hill Road,,E,E0032334,Bramley,Leeds,Bramley,425193,434218,-1.618954493,53.803654769296088,BCT,MKD,OTH,active
450012762,45012762,45012762,Poplar Rise,,Green Hill Road,at,W,E0032334,Bramley,Leeds,Bramley,425192,434209,-1.618970409,53.803573927768383,BCT,MKD,OTH,active
450012763,45012763,45012763,Armley Cemetery,Church,Green Hill Road,,E,E0032334,Bramley,Leeds,Bramley,425495,434194,-1.61437106,53.803424418207243,BCT,MKD,OTH,active
450012764,45012764,45012764,Armley Cemetery,Armley Hill Top Cemetery,Green Hill Road,at,NW,E0032334,Bramley,Leeds,Bramley,425570,434121,-1.613238339,53.802764648785889,BCT,MKD,OTH,active
450012765,45012765,45012765,St Mary's Hospital,St Mary Hospital - Armley Hill Top Cemetery,Green Hill Road,,NW,E0032334,Bramley,Leeds,Bramley,425666,433985,-1.611792039,53.801537609952590,BCT,MKD,OTH,active
450012766,45012766,45012766,St Mary's Hospital,St Marys Hospital,Green Hill Road,opp,SE,E0032334,Bramley,Leeds,Bramley,425727,433913,-1.610871881,53.800887493213537,BCT,MKD,OTH,active
450012767,45012767,45012767,Hill End Road,Travellers Rest PH,Hill Top Road,,NW,E0032199,Armley,Leeds,Armley,425845,433735,-1.609095218,53.799281853022727,BCT,MKD,OTH,active
450012768,45012768,45012768,Hill End Road,Travellers Rest PH,Hill Top Road,SE bound,SE,E0032199,Armley,Leeds,Bramley,425863,433738,-1.608821693,53.799307925854158,BCT,MKD,OTH,active
450012769,45012769,45012769,Whingate,Playing Fields,Hill Top Road,,W,E0032199,Armley,Leeds,Armley,426074,433598,-1.605630111,53.798039158193504,BCT,MKD,OTH,active
450012770,45012770,45012770,Whingate,Charlie Cake Park,Whingate,on,SE,E0032199,Armley,Leeds,Armley,426160,433549,-1.60432865,53.797594461478589,BCT,MKD,OTH,active
450012774,45012774,45012774,Whingate Moor Business Park,Whingate Moor Business Park,Whingate,at,SE,E0032199,Armley,Leeds,Armley - Moor End,426471,433267,-1.599631401,53.795044260322356,BCT,MKD,OTH,active
450012775,45012775,45012775,Whingate Junction,,Whingate,,NW,E0032199,Armley,Leeds,Armley - Moor End,426595,433114,-1.597762187,53.793662841541078,BCT,MKD,OTH,active
450012776,45012776,45012776,Whingate Junction,Sorting Office,Upper Wortley Road,S bound,SE,E0032199,Armley,Leeds,Wortley,426704,433037,-1.596114229,53.792965228283876,BCT,MKD,OTH,active
450012777,45012777,45012777,Upper Wortley Rd Thornhill Road,Golden Fleece PH,Upper Wortley Road,,NW,E0033913,Wortley,Leeds,Wortley,426930,432850,-1.592699915,53.791272926439966,BCT,MKD,OTH,active
450012778,45012778,45012778,Upper Wortley Rd Thornhill Road,OAP Home,Upper Wortley Road,adj,SE,E0033913,Wortley,Leeds,Wortley,426967,432835,-1.5921396,53.791136202839375,BCT,MKD,OTH,active
450012779,45012779,45012779,Five Lane Ends,,Upper Wortley Road,S bound,S,E0033913,Wortley,Leeds,Wortley,427155,432559,-1.589310178,53.788645854658832,BCT,MKD,OTH,active
450012780,45012780,45012780,Five Lane Ends,,Upper Wortley Road,N bound,N,E0033913,Wortley,Leeds,Wortley,427148,432554,-1.589416863,53.788601279547279,BCT,MKD,OTH,active
450012781,45012781,45012781,Dixon Lane,,Dixon Lane,S bound,S,E0033913,Wortley,Leeds,Wortley,427175,432182,-1.589039711,53.785256437160427,BCT,MKD,OTH,active
