Living Arrangements,Health,Education,Deprivation,Digital Exclusion,Transport Access,Car Access,Public Transport Access
0.653875,0.009911125,0.052132998,0.03827689,0.3081509,0.4584167,0.06399152,0.9025456
0.54877806,0.03664511,0,0.029665671,0.4766096,0.50102115,0.20117529,0.8466607
0.91670835,0.4175108,0.24810322,0.15237561,0.7746531,0.5422808,0.38715592,0.73941284
0.5334894,0.09511854,0.071454056,0.089944236,0.3859011,0.45920146,0.14100507,0.8270296
0.40016386,0.081813484,0,0.046888113,0.12673312,0.38674733,0,0.8297758
0.59198093,0.40747726,0.5822521,0.24279344,0.83944505,0.61202466,0.5585719,0.7010838
0.9980681,0.6581944,0.6644989,0.19543174,1,0.5917307,0.4193449,0.8015855
0.49835578,0.4544016,0.5768705,0.27293277,0.37294286,0.40005893,0.318053,0.53712434
0.6810224,0.4953578,0.5208728,0.18251488,0.7746531,0.31536907,0.35454893,0.3390211
0.2519548,0.43344072,0.69200426,0.24494626,0.15264964,0,0.0917749,0
0.7179229,0.25390843,0.3396011,0.20834857,0.6580273,0.5700028,0.6164472,0.5630213
0.52644813,0.13111277,0.37386572,0.10070827,0.8264868,0.5926788,0.40918,0.8135595
0.40764645,0,0.30780867,0.001679192,0.23039985,0.4693418,0.17382519,0.8135595
0.5842747,0.33946493,0.37251458,0.111472294,0.61915255,0.47971934,0.4757703,0.53141713
0.6698029,0.4034815,0.5691407,0.24064067,0.52844334,0.61071414,0.5221419,0.735013
0.52643615,0.12704712,0.36243278,0.033971276,0.5543606,0.5311994,0.27556753,0.82985544
1,0.41816783,0.41280353,0.1868205,0.73577833,0.64821714,0.44037008,0.88834906
0.52962255,0.35042033,0.48069242,0.08133301,0.5025269,0.7181377,0.49631846,0.96582484
0.88899595,0.16944365,0.32022437,0.03827689,0.81352854,0.65128034,0.38715592,0.94740856
0.41090116,0.37864247,0.3567539,0.12654194,0.5932353,0.57383335,0.38715592,0.7996222
0.4010317,0.26302996,0.35915005,0.05549934,0.5025269,0.29194027,0.33136174,0.31750083
0.4534307,0.28655705,0.2061123,0.0770274,0.4118176,0.58940303,0.28571194,0.9307766
0.5274319,0.30580902,0.52337193,0.09424986,0.73577833,0.6992483,0.6371429,0.78895515
1,0.30538496,0.64826834,0.14376439,1,0.709295,0.5771301,0.8681393
0.49496475,0.04306263,0.34602597,0.2514047,0.2822336,0.5270786,0.33136174,0.7661978
0.63879657,0.070008315,0.24717341,0.005984804,0.54140234,0.4486387,0,0.9478785
0.6268632,0.5680724,0.7484909,0.5657144,0.7228201,0.6841856,0.6853663,0.7119888
0.16480178,1,0.8896939,0.8692601,0.43773484,0.7243813,0.7009983,0.77305925
0.07677057,0.5472245,0.80913484,0.3633506,0.4895686,0.7185836,0.6418686,0.82112545
0.5600345,0.5275936,0.431699,0.21695979,0.7746531,0.59187704,0.33418676,0.88702273
0.2142248,0.62508893,0.945898,0.9424555,0.54140234,0.81942487,0.9905118,0.6649102
0.2927251,0.8034692,0.90340763,1,0.5673188,0.8077724,1,0.63318646
0.16862133,0.8965372,1,0.9424555,0.45069307,0.8102647,0.88930374,0.7486385
0.16312064,0.93608093,0.95526534,1,0.5673188,0.7062244,0.97477573,0.46463418
0.1825478,0.36550567,1,0.8757185,0.46365136,0.7673673,0.7317672,0.82431734
0.42868704,0.20944557,0.5008493,0.12654194,0.46365136,0.53947335,0.42900154,0.69220996
0.4331215,0.07843969,0,0.08563863,0.35998464,0.4207704,0.23498994,0.6597096
0.43040538,0.3033528,0.219783,0.29015517,0.43773484,0.49848685,0.253735,0.78926504
0.6644084,0.060379613,0.12547296,0.016748833,0.6061944,0.5703743,0.18017745,1
0.42356446,0.56785464,0.7788186,0.6582851,0.33406734,0.7447254,0.8545229,0.6583557
0.7619802,0.13106176,0.12302067,0.08133301,0.7487366,0.48512867,0.23131698,0.7861926
0.3365244,0.2632109,0.6586354,0.26862714,0.32110912,0.7365262,0.6124786,0.8847541
0.53605884,0.17680342,0.34135324,0.13084756,0.5802771,0.56240374,0.49705356,0.66791433
0.55930513,0.08158652,0.2534254,0.008137607,0.52844334,0.35301134,0.22412093,0.5412791
0.0797937,0.6115753,1,0.6776603,0.54140234,0.48339254,0.7458329,0.26836377
0.72599906,0.15052108,0.43224126,0.102861084,0.9560708,0.39844057,0.2867264,0.5653628
0.13050939,1,0.7088344,0.9790532,0.3081509,0.94620645,1,0.8973499
0,0.544007,0.4641861,0.2557103,0.048982143,0.805796,1,0.62941515
0.30274922,0.34303465,0.09774993,0.436546,0.4895686,0.5535733,0.56649446,0.58162296
0.64766395,0.037590753,0.10324019,0,0.83944505,0.34421563,0.045318227,0.70329756
0.69550496,0.12097076,0.30682138,0.117930725,0.52844334,0.39827752,0.29266575,0.55911225
0.020275915,0.34527674,0.18152304,0.4688381,0,0.8228398,0.97299504,0.6889433
0.5151055,0.6519804,0.8685544,0.5721728,0.8653623,0.7896213,1,0.5985501
1,0.6305273,0.34033367,0.23418224,1,0.74549645,0.5761363,0.93821365
0.5694879,0.015434817,0.02440071,0.003831994,0.24335885,0.27583852,0,0.6181369
0.010704104,1,0.3204524,0.6755075,0.13969135,0.68064266,0.63330686,0.7572875
0.024022244,0.959552,0.88477606,0.6991884,0.21744162,0.38867494,0.4515339,0.38192022
0.031822138,0.74671185,0.9372713,1,0.11377412,0.80418736,1,0.62634546
0.020805882,1,0.6339655,0.9316914,0.074899375,0.9712287,0.94509786,1
0.36960676,1,0.53656334,0.5377279,0.34702557,0.6199265,0.54087466,0.73385954
0.718831,0.1643867,0.23983471,0.059804954,0.7487366,0.5966391,0.3362134,0.89408314
0.33256674,0,0.097986884,0.03827689,0.20448339,0.40775928,0.23623718,0.6336342
0.91580933,0.07295951,0.022465589,0,0.70986104,0.51267046,0.26936817,0.8006973
0.7352442,0.41819015,0.44212303,0.31598887,0.83944505,0.55666786,0.5858475,0.568175
0.4607762,0.2560263,0,0.24494626,0.37294286,0.8275054,0.7046057,0.96623576
0.39926198,0.50113887,0.87571055,0.81328714,0.4118176,0.86434287,1,0.7411357
0.6037143,0.28319338,0.71729124,0.17390367,0.45069307,0.5869552,0.4429502,0.7688674
0.45050448,0.4010364,0.9233623,0.43224037,0.8264868,0.58788276,0.7244194,0.48916805
0.3190546,0.98033786,0.84833354,0.84127355,0.4766096,0.6684575,0.7819263,0.5854161
0.5130699,0.87399167,0.99985385,1,0.52844334,0.63841814,0.78930897,0.52071154
0.24442972,0.39680463,0.8936282,0.53988075,0.5543606,0.76152724,0.8223507,0.7225897
0.6915788,0.82151955,0.7841515,0.5872424,0.81352854,0.76201075,0.62320834,0.92265457
0.23094995,0.57172734,0.5567931,0.48606056,0.29519182,0.7719329,0.6860534,0.87874335
0,0.4021136,0.6339655,0.3267529,0.11377412,0.80414987,0.62627393,1
0.33045924,0.071272895,0.5167986,0.09424986,0.5025269,0.6803777,0.4899347,0.90015405
0.06620876,0.7672761,0.6626296,0.89509374,0.26927537,0.5504205,0.8521076,0.28999358
0.30834457,0.9249523,1,1,0.61915255,0.64808697,0.96873957,0.35973108
0.39122543,0.62016124,0.8057915,0.5657144,0.7746531,0.71078765,0.84933174,0.598786
0.26245347,0.2808463,0.45795816,0.38703147,0.15264964,0.4053256,0.5924365,0.27279085
0.7453899,0.4550502,0.5685367,0.44946283,0.8783206,0.7910167,0.7623238,0.83888906
