Education,Car Access,Deprivation,Living Arrangements,Digital Exclusion,Health,Public Transport Access
0.3654267,0.47482014,0.051,0.17889318,0.934,0.12227074,37.199123
0.2777778,0.35064936,0.063,0.111918606,0.945,0.089709766,39.68254
0.43965518,0.47126436,0.071,0.12305516,0.939,0.08357349,45.977013
0.47135416,0.50980395,0.135,0.08934708,0.948,0.16363636,80.729164
0.3116883,0.5492958,0.099,0.10839695,0.941,0.16309012,56.277054
0.5107296,0.6962025,0.221,0.12210201,0.919,0.16309012,25.751074
0.3709369,0.48120302,0.049,0.21212122,0.909,0.10769231,13.384321
0.47122303,0.5221239,0.144,0.16005665,0.937,0.1469534,28.77698
0.4473684,0.625,0.19,0.025641026,0.98,0.102564104,78.947365
0.6862745,0.9230769,0.53837,0.052419353,0.951,0.22772278,0
0.52866244,0.7903226,0.256,0.10064935,0.917,0.1910828,19.10828
0.44729346,0.4949495,0.076,0.17192982,0.886,0.11647727,42.735043
0.31205675,0.61403507,0.113,0.18770581,0.924,0.15801887,42.55319
0.3972973,0.62857145,0.164,0.18922652,0.935,0.18157181,48.648647
0.5308057,0.60227275,0.215,0.13968255,0.915,0.1542056,33.175358
0.2597015,0.37878788,0.027,0.11681416,0.94,0.09090909,0
0.38356164,0.5225225,0.136,0.15172414,0.939,0.10921501,27.39726
0.53198653,0.6923077,0.248,0.19461077,0.912,0.18367347,26.936026
0.37558687,0.46666667,0.122,0.0921875,0.961,0.10232558,14.084507
0.4911032,0.6567164,0.187,0.07436182,0.966,0.27046263,39.14591
0.5897436,0.78723407,0.272,0.07740916,0.921,0.16666667,44.871796
0.5180723,0.75,0.282,0.040219378,0.964,0.14457831,108.43374
0.5,0.7631579,0.388,0.031302877,0.953,0.20689656,68.965515
0.43814433,0.5272727,0.101,0.09540034,0.932,0.11398964,30.927835
0.4496124,0.5897436,0.104,0.1201849,0.94,0.11196911,15.503876
0.55140185,0.8512397,0.365,0.1282586,0.899,0.22429906,56.074764
0.53246754,0.8360656,0.253,0.071680374,0.938,0.19480519,45.454548
0.6515151,0.7,0.43,0.08230453,0.942,0.37593985,53.030304
0.4527027,0.5272727,0.242,0.06933333,0.946,0.1292517,27.027027
0.2,0.8,0.054,0.005353319,0.994,0.13333334,600
0.5363985,0.53125,0.183,0.1377841,0.944,0.23255815,61.30268
0.54545456,0.8076923,0.53,0.033766232,0.927,0.25454545,90.909096
0.4765343,0.5180723,0.176,0.13408723,0.933,0.1577061,43.3213
0.31578946,0.45588234,0.057,0.12296564,0.942,0.11764706,6.1919503
0.39642859,0.36363637,0.045,0.1007326,0.949,0.07446808,7.142857
0.49117646,0.7083333,0.149,0.11059908,0.917,0.15588236,44.11765
0.4827586,0.5981308,0.134,0.1621212,0.915,0.1408046,25.86207
0.27293578,0.4469697,0.085,0.18057455,0.938,0.08924485,27.522936
0.7419355,0.8378378,0.438,0.050531916,0.931,0.24210526,43.010754
0.5390625,0.7297297,0.144,0.056923077,0.972,0.203125,7.8125
0.46153846,0.7294118,0.145,0.12573965,0.945,0.15384616,5.91716
0.48351648,0.6086956,0.28,0.03314121,0.946,0.16666667,32.967033
0.50357145,0.7643312,0.376,0.17800453,0.933,0.17921147,21.428572
0.6083916,0.82222223,0.301,0.07009346,0.943,0.16428572,111.88811
0.5050505,0.61538464,0.22,0.08427877,0.943,0.14572865,20.20202
0.5885714,0.7090909,0.263,0.08283132,0.962,0.19298245,68.57143
0.49833888,0.61538464,0.126,0.13284671,0.937,0.12582782,53.156143
0.5699301,0.8333333,0.222,0.19639935,0.935,0.18881118,31.468533
0.6547619,0.7741935,0.532,0.056466304,0.955,0.16049382,154.76192
0.56684494,0.7162162,0.345,0.11764706,0.946,0.19251336,37.433155
0.49746192,0.484375,0.192,0.097709924,0.945,0.12690355,50.76142
0.5081967,0.6847826,0.246,0.13031161,0.941,0.17479675,32.786884
0.3483871,0.5632184,0.088,0.12482066,0.946,0.08012821,32.258064
0.43913043,0.49275362,0.161,0.118353345,0.941,0.08695652,47.826084
0.520362,0.7380952,0.214,0.1329114,0.917,0.16818182,13.57466
0.575419,0.74285716,0.227,0.10230547,0.93,0.20555556,61.452515
0.5175097,0.66346157,0.206,0.16403785,0.929,0.12451362,23.346304
0.5519481,0.5555556,0.187,0.091836736,0.924,0.22077923,32.467533
0.5019305,0.57471263,0.2,0.10933661,0.951,0.122137405,34.749035
0.611276,0.7590361,0.325,0.2004831,0.916,0.20535715,44.510387
0.61764705,0.7419355,0.37,0.054770317,0.952,0.15686275,49.019608
0.58409786,0.7226891,0.264,0.14020857,0.923,0.2232416,36.697247
0.53361344,0.6933333,0.175,0.08789954,0.946,0.16317992,25.210085
0.6283784,0.68421054,0.411,0.057401814,0.938,0.30201343,33.783783
0.5095057,0.61627907,0.218,0.09227468,0.944,0.20833333,41.825092
0.57522124,0.8088235,0.322,0.07866508,0.952,0.2173913,26.548672
0.60956174,0.79611653,0.299,0.15773809,0.926,0.18181819,11.952191
0.587234,0.7821782,0.28,0.12436548,0.916,0.19574468,72.34043
0.6617647,0.8046875,0.305,0.13928182,0.927,0.1970803,25.735294
0.27636364,0.47058824,0.117,0.1264706,0.945,0.08394161,29.09091
0.28057554,0.54545456,0.161,0.12127894,0.94,0.12,7.194245
0.4007353,0.5905512,0.282,0.13278009,0.948,0.14391144,36.764706
0.25185186,0.46969697,0.058,0.07801419,0.97,0.08888889,0
0.52459013,0.71428573,0.256,0.05981595,0.949,0.20491803,16.393442
0.3902439,0.5925926,0.248,0.08644611,0.959,0.12847222,24.390244
0.50660795,0.75757575,0.312,0.13826816,0.917,0.18942732,8.810573
0.42380953,0.6315789,0.328,0.06946108,0.952,0.30476192,23.809525
0.6684492,0.78688526,0.523,0.08068783,0.947,0.24064171,21.390375
0.5450644,0.7802198,0.505,0.0797546,0.93,0.19742489,60.08584
0.5601852,0.75,0.384,0.10087294,0.926,0.22119816,83.333336
0.58125,0.75342464,0.359,0.08478513,0.938,0.23602484,112.5
0.6666667,0.6805556,0.333,0.08209806,0.942,0.22777778,38.88889
0.6510067,0.80246913,0.426,0.10331633,0.941,0.21621622,33.557045
0.53745925,0.6976744,0.19,0.17456022,0.919,0.12662338,65.14658
0.57918555,0.5833333,0.31,0.07007299,0.949,0.45045045,27.14932
0.5503356,0.8203125,0.383,0.16953643,0.904,0.2575251,20.134228
0.6376812,0.71428573,0.516,0.051369864,0.952,0.25,0
0.60493827,0.68,0.372,0.042372882,0.969,0.22222222,49.382717
0.47777778,0.54545456,0.196,0.05564924,0.962,0.12643678,0
0.62222224,0.8,0.53837,0.04057971,0.946,0.21348314,0
0.26634383,0.38947368,0.043,0.14011799,0.963,0.05811138,9.68523
0.28643215,0.4715447,0.028,0.2,0.919,0.08883249,17.58794
